Campaign,Measurement,Month1,Month2,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Stage_Count,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group,Segment,div
2023RacingIDA,FAB,2,Feb,13279000,13279000,13279000,0,No,All Pipelines SOM,2/28/2023,2/16/2023,2/28/2023,0065g00000WSl1x,0065g00000WSl1xAAD,2023RacingIDA,GOOGLE IADS BOUNTY X SANGOBION PART 2,MTX10606850,BOUNTY MEDIA,Other Technologies,NATIONAL ENTERPRISE ACCOUNT,SUPPLY CHAIN & SERVICES,Big Data Offer-Lead Generation,"0257210035 (HERLIKA AGRIN SITUMORANG, S.I.KOM.)",Cash,1,13550,1,13279000,13279000,0,NEA,0,SUPPLY CHAIN & SERVICES
2023RacingIDA,NO,2,Feb,50000000,50000000,50000000,0,No,All Pipelines SOM,2/7/2023,2/7/2023,,0065g00000UtOC8,0065g00000UtOC8AAN,2023RacingIDA,BPD KALTENG - Big Data,MTX07780670,BPD KALTENG-LA CUST,MIG-CAT2-2015,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,Big Data Offer-Telco Scoring,84198077 (JUAN AUDYA SENGKEY),Identify,1,1,,50000000,50000000,0,REA,0,EAST REGIONAL
2023RacingIDA,FAB,2,Feb,200000000,100000000,1100000000,100000000,No,All Pipelines SOM,2/21/2023,2/21/2023,3/24/2023,0065g00000WfWEK,0065g00000WfWEKAA3,2023RacingIDA,Market Insights,,CHEETAH AGENCY,"Arts,entertainment& recreation",REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Business Insight Enrichment,0102614828 (Hasbullah Syafaruddin),Complete,1,1,12,1200000000,0,100000000,REA,0,JABODETABEK
2023RacingIDA,FAB,3,Mar,50000000,50000000,500000000,100000000,No,All Pipelines SOM,3/9/2023,2/16/2023,3/3/2023,0065g00000WSkhJ,0065g00000WSkhJAAT,2023RacingIDA,Google - IDA,,CLOSED BUY ASIA,System Integrator,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Complete,1,1,12,600000000,0,50000000,REA,0,JABODETABEK
2023BDx,NO,4,Apr,50000000,250000000,1850000000,600000000,No,All Pipelines SOM,4/30/2023,2/6/2023,2/6/2023,0065g00000UtLke,0065g00000UtLkeAAF,2023BDx,Colocation - DCConnect Global Ltd Pte,,DCCONNECT GLOBAL LTD. PTE,Global Service Provider,NATIONAL ENTERPRISE ACCOUNT,FINANCIAL & RETAIL BUSINESS,DC Colocation (Rack Based) Offer,82157176 (ANNISA KUSUMADEWI),Develop,1,10,12,2450000000,50000000,200000000,NEA,0,FINANCIAL & RETAIL BUSINESS
2023BDx,FAB,3,Mar,41000000,41000000,365000000,72000000,No,All Pipelines SOM,3/10/2023,2/13/2023,3/6/2023,0065g00000WSh0U,0065g00000WSh0UAAT,2023BDx,Colo 1 rack PT Harmoni Panca Utama,MTX10410799,HARMONI PANCA UTAMA,Agents/Distributors,NATIONAL ENTERPRISE ACCOUNT,RESOURCES & MANUFACTURING,DC Colocation (Rack Based) Offer - IDR,2622200030 (LUCKY MEIFANY FERBA),Complete,1,1,12,245000000,5000000,36000000,NEA,0,RESOURCES & MANUFACTURING
2023BDx,NO,9,Sept,0,362268000,927072000,1506144000,No,All Pipelines SOM,9/30/2023,2/7/2023,2/7/2023,0065g00000UtNop,0065g00000UtNopAAF,2023BDx,ISPL Colocation 12 Rack x 60 KVA,MTX07715013,INDOSAT SINGAPORE PTE LTD,Other Technologies,WHOLESALE & CARRIER ACCOUNT,INTERNATIONAL WHOLESALE,DC Colocation (Rack Based) Offer - IDR,93218398 (ADISTI PRADANARI PUTRI),Value,1,1,12,2433216000,174000000,188268000,WCA,Wholesale,INTERNATIONAL WHOLESALE
2023RacingIDA,FAB,2,Feb,100000000,100000000,100000000,0,No,All Pipelines SOM,2/15/2023,2/15/2023,2/15/2023,0065g00000WSjyL,0065g00000WSjyLAAT,2023RacingIDA,GOOGLE_iDA ISMAYA Group,,ISMAYA GROUP,,NATIONAL ENTERPRISE ACCOUNT,SUPPLY CHAIN & SERVICES,Big Data Offer-Lead Generation,95208373 (ALURA STACIA KANDOU),Complete,1,1,1,100000000,100000000,0,NEA,0,SUPPLY CHAIN & SERVICES
2023RacingIDA,FAB,2,Feb,10000000,5000000,55000000,5000000,No,All Pipelines SOM,2/22/2023,2/2/2023,3/3/2023,0065g00000UtE0N,0065g00000UtE0NAAV,2023RacingIDA,IDA - WA BLAST,,LABELLE GLOBAL UTAMA,Public Health Center,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Complete,1,1,12,60000000,0,5000000,REA,0,JABODETABEK
2023BDx,NO,12,Dec,0,1.27E+11,1.27E+11,0,No,All Pipelines SOM,12/20/2023,2/2/2023,2/2/2023,0065g00000UtEhw,0065g00000UtEhwAAF,2023BDx,NTT - Tj Bemban CLS Tender,MTX08688879,NTT GLOBAL NETWORKS INCORPORATED,Global Service Provider,WHOLESALE & CARRIER ACCOUNT,INTERNATIONAL WHOLESALE,DC Colocation (Space Based) Offer - IDR,83075994 (BUDI PRASETYO),Value,1,1,180,1.27E+11,1.27E+11,0,WCA,Wholesale,INTERNATIONAL WHOLESALE
2023RacingIDA,NO,7,Jul,0,20000000,0,0,No,All Pipelines SOM,7/31/2023,2/28/2023,3/21/2023,0065g00000Wfjv1,0065g00000Wfjv1AAB,2023RacingIDA,Pegadaian_Data Anlyttic,MTX07739852,PEGADAIAN (PERSERO),MIG-CAT2-2015,STRATEGIC ENTERPRISE ACCOUNT,PUBLIC SECTOR,Big Data Offer-Business Insight Enrichment,79157154 (KUSYONO),Qualify,1,1,,0,0,20000000,SEA,0,PUBLIC SECTOR
2023RacingIDA,NO,5,May,0,125000000,300000000,100000000,No,All Pipelines SOM,5/31/2023,2/28/2023,2/28/2023,0065g00000WfkDo,0065g00000WfkDoAAJ,2023RacingIDA,Digital marketing and Big data,MTX07726942,PERTAMINA RETAIL,Mining and Oil & Gas,STRATEGIC ENTERPRISE ACCOUNT,ENERGY & LAW ENFORCEMENT,Big Data Offer-Business Insight Enrichment,84208383 (AULIA ARMIS),Develop,1,1,12,400000000,100000000,25000000,SEA,Energy & resources,ENERGY & LAW ENFORCEMENT
2023RacingIDA,NO,2,Feb,82500000,41250000,41250000,0,No,All Pipelines SOM,2/28/2023,2/28/2023,3/5/2023,0065g00000WfkNx,0065g00000WfkNxAAJ,2023RacingIDA,Indosat Digital Analytics,MTX02828207,PT. SHAFIRA LARAS PERSADA,Trading Wholesaler,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,0257220032 (RAHMI WELLINA PUTRI),Value,1,50000,1,41250000,0,41250000,REA,SMB,JABODETABEK
2023BDx,FAB,4,Apr,600000000,1200000000,6000000000,1800000000,No,All Pipelines SOM,45046,2/28/2023,2/28/2023,0065g00000WflAk,0065g00000WflAkAAJ,2023BDx,KEBUTUHAN DATA CENTER DI KPPTI - BNI,MTX07713391,PT BANK NEGARA INDONESIA ( PERSERO) TBK,"Commercial, saving & Dev. Bank",STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,DC Colocation (Space Based) Offer,85126334 (SARI RACHMAWATI),Complete,1,1,12,7800000000,600000000,600000000,SEA,Financial,STRATEGIC BANKING & FINANCIAL INSTITUTION
2023RacingIDA,FAB,2,Feb,300000000,300000000,300000000,0,No,All Pipelines SOM,2/28/2023,2/28/2023,2/28/2023,0065g00000WflBY,0065g00000WflBYAAZ,2023RacingIDA,GOOGLE_CREDIT SCORING - BNI,MTX07713391,PT BANK NEGARA INDONESIA ( PERSERO) TBK,"Commercial, saving & Dev. Bank",STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,Big Data Offer-Telco Scoring,85126334 (SARI RACHMAWATI),Complete,1,1,3,300000000,300000000,0,SEA,Financial,STRATEGIC BANKING & FINANCIAL INSTITUTION
2023RacingIDA,LOST,2,Feb,2,1,1,0,No,All Pipelines SOM,2/21/2023,2/2/2023,2/6/2023,0065g00000UtDm6,0065g00000UtDm6AAF,2023RacingIDA,BIG DATA FOR 1 YEAR,MTX09712347,ROYAL CHIRAG TEKNOLOGI,Trading Wholesaler,STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC GROUP COMPANY ACCOUNT,Big Data Offer-Lead Generation,90208388 (SUROYYA JUNAIDI),Closed Lost,1,1,1,1,0,1,SEA,0,STRATEGIC GROUP COMPANY ACCOUNT
2023RacingIDA,FAB,2,Feb,40000000000,40000000000,40000000000,0,No,All Pipelines SOM,2/6/2023,2/6/2023,3/10/2023,0065g00000UtLYU,0065g00000UtLYUAA3,2023RacingIDA,BIG DATA SDA FOR 1 YEAR,MTX10646191,ROYAL TEKNOLOGI DIGITAL,E-commerce,STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC GROUP COMPANY ACCOUNT,Big Data Offer-Lead Generation,90208388 (SUROYYA JUNAIDI),Cash,1,1,1,40000000000,40000000000,0,SEA,0,STRATEGIC GROUP COMPANY ACCOUNT
2023RacingIDA,FAB,2,Feb,82500000,41250000,41250000,0,No,All Pipelines SOM,2/20/2023,2/3/2023,2/24/2023,0065g00000UtGHw,0065g00000UtGHwAAN,2023RacingIDA,Internal Source,2-5HF7ADH,SHAFIRA LARAS PERSADA,Large Scale Retailers,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,0257220032 (RAHMI WELLINA PUTRI),Complete,1,50000,1,41250000,0,41250000,REA,0,JABODETABEK
2023BDx,FAB,2,Feb,120000000,60000000,660000000,60000000,No,All Pipelines SOM,2/28/2023,2/28/2023,2/28/2023,0065g00000WfkFQ,0065g00000WfkFQAAZ,2023BDx,Rack PT.SUFI,MTX10236889,SUMBER UTAMA FIBER INDONESIA,Internet Service Provider(ISP),STRATEGIC ENTERPRISE ACCOUNT,PUBLIC SECTOR,DC Colocation (Rack Based) Offer - IDR,86167419 (SENDRO JATI LINANGKUNG),Complete,1,1,12,720000000,0,60000000,SEA,Wholesale,PUBLIC SECTOR
2023RacingIDA,FAB,2,Feb,10000002,10000001,10000000,0,No,All Pipelines SOM,2/28/2023,2/10/2023,3/3/2023,0065g00000WSduh,0065g00000WSduhAAD,2023RacingIDA,YULORE_IDA_OPPTY,,YULORE LIMITED,Other Technologies,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Business Insight Enrichment,85228994 (NADYA MAYA SAVITRI),Complete,1,1,,10000000,10000000,1,REA,0,JABODETABEK
2023BDx,FAB,6,Jun,0,21500000,135500000,95000000,Done,SFA,6/30/2023,3/7/2023,3/24/2023,0065g00000Wfz4Z,0065g00000Wfz4ZAAR,2023BDx,JIN Additional 1 Rack,MTX10457277,JARINGAN INTERNET NUSANTARA,Internet Service Provider(ISP),WHOLESALE & CARRIER ACCOUNT,INTERNATIONAL DATA WHOLESALE,,94208391 (SARAH),Complete,1,1,12,230500000,2500000,19000000,WCA,0,INTERNATIONAL WHOLESALE
2023RacingIDA,FAB,3,Mar,750000000,750000000,3000000000,500000000,Done,SFA,3/21/2023,3/21/2023,3/21/2023,0065g00000WgQrw,0065g00000WgQrwAAF,2023RacingIDA,Data Analytics Sandbox BIN Dir 64,MTX07713342,BADAN INTELIJEN NEGARA,Local Government,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Complete,1,1,12,3500000000,500000000,250000000,SEA,Government,ENERGY & LAW ENFORCEMENT
2023RacingIDA,FAB,3,Mar,105000000,105000000,150000000,10000000,No,All Pipelines SOM,3/13/2023,3/13/2023,3/13/2023,0065g00000WgAGs,0065g00000WgAGsAAN,2023RacingIDA,big data BPD Bali - Lead Generation - Kredit Multi,MTX07854036,BANK BPD BALI,Rural Bank (BPD),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,Big Data Offer-Lead Generation,6180141450 (NI LUH MADE YULIA DWIPAYANI),Complete,1,1,12,160000000,100000000,5000000,REA,Financial,EAST REGIONAL
2023RacingIDA,FAB,3,Mar,55000000,55000000,100000000,10000000,No,All Pipelines SOM,3/13/2023,3/13/2023,3/13/2023,0065g00000WgAH7,0065g00000WgAH7AAN,2023RacingIDA,big data bpd bali - Boost up user base Balipay,MTX07854036,BANK BPD BALI,Rural Bank (BPD),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,Big Data Offer-Lead Generation,6180141450 (NI LUH MADE YULIA DWIPAYANI),Complete,1,1,12,110000000,50000000,5000000,REA,Financial,EAST REGIONAL
2023RacingIDA,FAB,5,May,0,10000000,80000000,40000000,No,All Pipelines SOM,5/23/2023,2/16/2023,3/3/2023,0065g00000WSkhY,0065g00000WSkhYAAT,2023RacingIDA,Internal Source,,CLOSED BUY ASIA,System Integrator,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Complete,1,1,12,120000000,0,10000000,REA,0,0
2023RacingIDA,NO,4,Apr,0,50000000,0,0,No,All Pipelines SOM,4/30/2023,3/6/2023,,0065g00000Wfx8E,0065g00000Wfx8EAAR,2023RacingIDA,BIG DATA for SDA and DAS,MTX08776934,MARKET PLACE BUKALAPAK,Trading Wholesaler,STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC GROUP COMPANY ACCOUNT,Big Data Offer-Lead Generation,90208388 (SUROYYA JUNAIDI),Identify,1,1,,0,0,50000000,SEA,Supply chain & manufacturing,STRATEGIC GROUP COMPANY ACCOUNT
2023RacingIDA,FAB,3,Mar,1209358,1209358,1222300,2876,No,All Pipelines SOM,3/8/2023,3/7/2023,3/8/2023,0065g00000WfzVw,0065g00000WfzVwAAJ,2023RacingIDA,GOOGLE- IADS WA BLAST,,MODERN PULSA INVESTAMA,Venture Capital,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,85228994 (NADYA MAYA SAVITRI),Complete,1,1438,12,1225176,1207920,1438,REA,0,0
2023RacingIDA,NO,3,Mar,1237500,1237500,12375000,2475000,No,All Pipelines SOM,3/30/2023,3/9/2023,3/9/2023,0065g00000Wg3KF,0065g00000Wg3KFAAZ,2023RacingIDA,WABA,,SURYA HARAPAN BANGSA,Other manufacturing,NATIONAL ENTERPRISE ACCOUNT,SUPPLY CHAIN & SERVICES,Big Data Offer-Lead Generation,0261220006 (Andre Saputra),Develop,1,1500,12,14850000,0,1237500,NEA,0,0
2023RacingIDA,FAB,3,Mar,375000000,375000000,1050000000,900000000,No,All Pipelines SOM,3/7/2023,3/7/2023,3/7/2023,0065g00000WfzZi,0065g00000WfzZiAAJ,2023RacingIDA,Google (Digital Marketing SDA),MTX01190599,ZURICH ASURANSI INDONESIA,Venture Capital,STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,Big Data Offer-Business Insight Enrichment,84208380 (AHMAD SIDI SARAGIH),Complete,1,1,36,3000000000,300000000,75000000,SEA,Financial,STRATEGIC BANKING & FINANCIAL ACCOUNT
2023BDx,NO,5,May,0,25000000,0,0,No,All Pipelines SOM,5/26/2023,3/2/2023,,0065g00000WfpL7,0065g00000WfpL7AAJ,2023BDx,Colocation,,NS BLUESCOPE LYSAGHT INDONESIA,,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,DC Colocation (Rack Based) Offer - IDR,0102614833 (Maya Sjartina),Identify,1,1,,0,0,25000000,REA,0,JABODETABEK
2023BDx,FAB,6,Jun,0,2500000000,2500000000,0,No,All Pipelines SOM,6/21/2023,3/2/2023,3/24/2023,0065g00000WfqAw,0065g00000WfqAwAAJ,2023BDx,UNIVERSITAS JAMBI - DRC COLLOCATION 2023,MTX10227178,"UNIVERSITAS JAMBI SEKRETARIAT UTAMA KEMENTERIAN RISET, TEKNOLOGI",Shools & Univ,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,DC Colocation (Rack Based) Offer - IDR,87136572 (RIEZKY DESTRIBUANA PUTRA),Complete,1,1,12,3600000000,2500000000,0,REA,Education,WEST REGIONAL
isoc,FAB,3,Mar,120000000,120000000,120000000,0,Done,SFA,3/30/2023,3/30/2023,3/30/2023,0065g00000Wgt0D,0065g00000Wgt0DAAR,2023Securityhealth,Security Health Check  Polda Sumbar,MTX08378246,BID TIK POLDA SUMBAR KEPOLISIAN NEGARA REPUBLIK INDONESIA,Army,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,71974376 (NICO ENJELIT),Complete,1,1,12,120000000,120000000,0,REA,Government,WEST REGIONAL
2023BDx,FAB,10,Oct,0,1000000000,2000000000,4500000000,Done,SFA,10/30/2023,3/30/2023,3/30/2023,0065g00000Wgt4Z,0065g00000Wgt4ZAAR,2023BDx,Colocation DRC TNI AU,,TENTARA NASIONAL INDONESIA ANGKATAN UDARA (INDONESIAN AIR FORCE),Army,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Complete,1,1,12,6500000000,500000000,500000000,SEA,0,0
2023BDx,NO,5,May,0,40000000,250000000,360000000,Done,SFA,5/31/2023,4/5/2023,4/5/2023,0065g00000Wh8Em,0065g00000Wh8EmAAJ,2023BDx,Colo + Leasedline BIN,MTX08280680,LIMA MENARA BINTANG,Local Government,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Develop,1,2,36,1090000000,10000000,30000000,SEA,Supply chain & manufacturing,ENERGY & LAW ENFORCEMENT
2023BDx,NO,5,May,0,40000000,250000000,360000000,Done,SFA,5/31/2023,4/5/2023,4/5/2023,0065g00000Wh8Em,0065g00000Wh8EmAAJ,2023BDx,Colo + Leasedline BIN,MTX08280680,LIMA MENARA BINTANG,Local Government,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Develop,1,2,36,1090000000,10000000,30000000,SEA,Supply chain & manufacturing,ENERGY & LAW ENFORCEMENT
ISPMaxBoost,FAB,4,Apr,0,75000000,600000000,0,Done,SFA,4/5/2023,4/5/2023,4/5/2023,0065g00000Wgsxt,0065g00000WgsxtAAB,2023-Q2MaximumBoost,NET SUN POWER,MTX10140116,NET SUN POWER,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Complete,1,1,8,600000000,0,75000000,REA,Energy & resources,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,77000000,616000000,0,Done,SFA,4/5/2023,4/5/2023,4/5/2023,0065g00000WgsyR,0065g00000WgsyRAAR,2023-Q2MaximumBoost,MPLSb 500 Mbps,,PASIFIK WIJA TEKNOLOGI,"BuildingService,Architect&Eng.",REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Complete,1,1,8,616000000,0,77000000,REA,0,0
ISPMaxBoost,FAB,4,Apr,0,75000000,675000000,225000000,Done,SFA,4/5/2023,4/5/2023,4/5/2023,0065g00000Wh8Nj,0065g00000Wh8NjAAJ,2023-Q2MaximumBoost,MPLS  Loveika,MTX10460147,LOVEIKA HOST NUSANTARA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Complete,1,1,12,900000000,0,75000000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,6,Jun,0,65000000,455000000,325000000,Done,SFA,6/30/2023,4/5/2023,4/6/2023,0065g00000Wh8er,0065g00000Wh8erAAB,2023-Q2MaximumBoost,Ip Transit Loveika,MTX10460147,LOVEIKA HOST NUSANTARA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Complete,1,1,12,780000000,0,65000000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,5000000,14000000,86000000,108000000,Done,SFA,4/3/2023,4/4/2023,4/4/2023,0065g00000Wh2Zi,0065g00000Wh2ZiAAJ,(2023-Q2)MaximumBoost,MPLS 200 MB CYBER - SITE WONOMULYO,MTX07901709,JULIA MULTIMEDIA NUSANTARA,Internet Service Provider(ISP),WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,89228541 (LUTFI ZAWARI),Complete,1,1,24,221000000,5000000,9000000,WCA,Wholesale,DOMESTIC WHOLESALE
ISPMaxBoost,FAB,4,Apr,2500000,5500000,29500000,9000000,Done,SFA,4/4/2023,4/4/2023,4/13/2023,0065g00000Wh40y,0065g00000Wh40yAAB,(2023-Q2)MaximumBoost,DETH 100 GOLEMPANG ISP MAXIMUM BOOST Q2 2023,MTX10156091,MULKAN SARANA SOLUSI,Hardware/Equipment Supplier,WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Cash,1,1,12,38500000,2500000,3000000,WCA,Wholesale,DOMESTIC WHOLESALE
